VenteID;DateVente;ClientID;ProduitID;Quantite
V00001;2024-05-14;C001;P010;1
V00002;2024-01-15;C005;P008;4
V00003;2023-10-12;C006;P009;5
V00004;2023-08-13;C005;P010;2
V00005;2022-12-31;C002;P003;5
V00006;2024-10-25;C009;P006;3
V00007;2022-09-21;C005;P010;4
V00008;2023-09-16;C001;P005;5
V00009;2022-09-01;C004;P007;3
V00010;2022-06-19;C010;P006;5
V00011;2024-05-26;C009;P008;2
V00012;2023-11-12;C003;P005;1
V00013;2022-02-22;C003;P005;2
V00014;2022-10-06;C002;P007;3
V00015;2022-01-13;C009;P006;5
V00016;2022-03-22;C001;P004;3
V00017;2022-03-29;C004;P003;4
V00018;2022-11-16;C010;P006;2
V00019;2023-09-21;C007;P006;4
V00020;2024-02-02;C007;P005;3
V00021;2023-04-16;C003;P005;3
V00022;2023-04-21;C001;P002;1
V00023;2022-05-29;C004;P002;3
V00024;2023-04-30;C009;P009;3
V00025;2022-09-26;C006;P002;5
V00026;2022-08-26;C009;P009;2
V00027;2023-10-30;C009;P006;4
V00028;2023-10-12;C007;P002;2
V00029;2022-05-22;C005;P004;5
V00030;2023-03-03;C001;P007;1
V00031;2022-01-12;C008;P008;5
V00032;2023-10-26;C009;P004;1
V00033;2023-11-28;C009;P009;2
V00034;2024-09-11;C001;P001;1
V00035;2022-03-11;C003;P006;4
V00036;2024-12-04;C007;P003;5
V00037;2023-02-22;C006;P001;5
V00038;2024-05-21;C003;P004;2
V00039;2023-01-09;C010;P009;4
V00040;2022-07-25;C006;P009;3
V00041;2023-08-05;C002;P002;2
V00042;2023-09-14;C007;P010;1
V00043;2023-08-06;C005;P004;4
V00044;2024-11-30;C007;P008;4
V00045;2024-12-10;C010;P007;5
V00046;2024-02-24;C004;P009;3
V00047;2024-03-01;C004;P005;5
V00048;2024-10-01;C004;P002;5
V00049;2022-10-23;C006;P009;3
V00050;2024-10-20;C007;P005;3
V00051;2023-03-31;C003;P008;3
V00052;2024-05-16;C004;P002;1
V00053;2024-07-08;C001;P005;5
V00054;2024-06-22;C004;P007;5
V00055;2023-08-23;C010;P003;5
V00056;2024-04-26;C008;P003;3
V00057;2022-11-03;C005;P001;5
V00058;2022-01-14;C005;P002;2
V00059;2022-09-23;C001;P005;1
V00060;2024-01-21;C009;P009;2
V00061;2024-11-21;C009;P004;2
V00062;2022-12-10;C001;P004;1
V00063;2024-01-26;C007;P004;4
V00064;2023-08-13;C008;P006;3
V00065;2023-03-05;C001;P005;4
V00066;2022-05-23;C009;P001;1
V00067;2024-12-12;C010;P002;3
V00068;2023-03-24;C009;P002;2
V00069;2022-12-21;C008;P003;4
V00070;2022-08-05;C001;P008;5
V00071;2022-10-01;C010;P003;5
V00072;2023-01-25;C003;P009;1
V00073;2022-05-09;C001;P004;1
V00074;2022-09-16;C002;P007;3
V00075;2023-02-14;C010;P001;2
V00076;2022-10-21;C010;P004;2
V00077;2022-01-15;C002;P001;1
V00078;2023-09-17;C009;P009;2
V00079;2022-07-09;C005;P008;5
V00080;2022-05-01;C004;P007;5
V00081;2024-02-12;C002;P005;5
V00082;2022-01-17;C002;P008;4
V00083;2022-07-04;C004;P008;4
V00084;2024-11-30;C003;P001;2
V00085;2023-05-17;C007;P010;2
V00086;2024-04-30;C007;P001;1
V00087;2023-06-22;C002;P007;5
V00088;2024-09-29;C002;P008;2
V00089;2022-11-24;C006;P007;2
V00090;2023-02-22;C009;P002;3
V00091;2024-08-06;C005;P009;4
V00092;2023-12-08;C009;P004;3
V00093;2022-02-19;C006;P008;3
V00094;2024-12-26;C009;P007;1
V00095;2022-12-05;C001;P003;2
V00096;2024-08-23;C006;P010;1
V00097;2024-04-07;C003;P006;4
V00098;2024-11-28;C007;P001;5
V00099;2022-06-28;C004;P008;5
V00100;2024-07-22;C003;P007;1
V00101;2022-12-29;C002;P008;3
V00102;2023-01-06;C002;P002;3
V00103;2023-12-18;C010;P007;1
V00104;2024-09-10;C007;P003;2
V00105;2024-08-08;C001;P002;4
V00106;2023-10-20;C005;P008;2
V00107;2023-06-18;C008;P003;2
V00108;2024-01-14;C003;P001;1
V00109;2023-06-29;C003;P005;1
V00110;2024-09-17;C001;P009;2
V00111;2022-10-05;C006;P009;5
V00112;2024-02-16;C004;P009;3
V00113;2022-11-13;C010;P007;2
V00114;2022-03-08;C008;P009;1
V00115;2023-10-29;C001;P001;5
V00116;2022-10-19;C008;P005;3
V00117;2022-07-04;C008;P002;1
V00118;2024-11-12;C005;P009;1
V00119;2024-07-17;C006;P007;3
V00120;2024-02-23;C005;P010;2
V00121;2023-05-09;C005;P004;2
V00122;2022-07-29;C008;P001;1
